ASIN,URL,TITLE,PRICE,DISCOUNT,MRP
B0BDG28BCZ,https://www.amazon.in/dp/B0BDG28BCZ?th=1&psc=1,Veirdo Overize and Loose Fit Half Sleeves Printed Tshirt for Men (Pack of 2),NOT GIVEN,-71%,"₹2,399"
B09TPGL93X,https://www.amazon.in/dp/B09TPGL93X?th=1&psc=1,Veirdo Pure Cotton Oversize Drop Shoulder Loose Fit Round Neck Cool Stylish Latest Graphic Printed T-Shirt for Men & Boys,NOT GIVEN,-63%,"₹1,199"
B09CV37NXQ,https://www.amazon.in/dp/B09CV37NXQ?th=1&psc=1,Veirdo 100% Cotton Oversize Drop Shoulder Loose Fit Round Neck Half Sleeve Animal Printed T-Shirt for Men/Boys,NOT GIVEN,-71%,"₹1,199"
B09QSXKTW5,https://www.amazon.in/dp/B09QSXKTW5?th=1&psc=1,Veirdo Pure Cotton Oversized Loose Baggy Fit Drop Shoulder Round Neck Half Sleeve Cool Graphic Printed Unisex T-Shirt for Men & Women,NOT GIVEN,-70%,"₹1,199"
B0BJPSXHXJ,https://www.amazon.in/dp/B0BJPSXHXJ?th=1&psc=1,Veirdo Pure Cotton Full Sleeves Round Neck Cool & Stylish Graphic Printed T-Shirt for Men & Boys,NOT GIVEN,-63%,"₹1,199"
B0BJPRQKRH,https://www.amazon.in/dp/B0BJPRQKRH?th=1&psc=1,Veirdo Pure Cotton Full Sleeves Round Neck Cool & Stylish Graphic Printed T-Shirt for Men & Boys,NOT GIVEN,-58%,"₹1,199"
B097MMCN9M,https://www.amazon.in/dp/B097MMCN9M?th=1&psc=1,"Veirdo Polo T Shirts for Men, Cotton Polo Neck T Shirts for Men, Half Sleeves Men Polo Tshirt, Classic Polo T Shirts for Men, Men's Regular Polo Shirt",NOT GIVEN,-67%,"₹1,199"
B094VH5L2G,https://www.amazon.in/dp/B094VH5L2G?th=1&psc=1,"Veirdo Men's Cotton Printed Sleeveless T-Shirt (Black, 3XL)",NOT GIVEN,-61%,₹999
B09XXRQP6G,https://www.amazon.in/dp/B09XXRQP6G?th=1&psc=1,Veirdo Marvel Spider Power -Original Marvel Printed Oversize Half Sleeves T-Shirt for Men Black Red,NOT GIVEN,-63%,"₹1,199"
B09XXQFJNN,https://www.amazon.in/dp/B09XXQFJNN?th=1&psc=1,"Veirdo Drop Shoulder Tshirt for Men, Official Star Wars Black Loose T Shirts for Men, Half Sleeves Baggy T Shirts for Men, Printed Cotton Oversized T Shirts for Men",NOT GIVEN,-63%,"₹1,199"
B09XXYFH8P,https://www.amazon.in/dp/B09XXYFH8P?th=1&psc=1,Veirdo Marvel Black Panther Printed Original Half Sleeves Regular Fit T-Shirt for Men,NOT GIVEN,-63%,"₹1,199"
B09XXQLHWM,https://www.amazon.in/dp/B09XXQLHWM?th=1&psc=1,"Veirdo Drop Shoulder Tshirt for Men, Official Star Wars Black Loose T Shirts for Men, Half Sleeves Baggy T Shirts for Men, Printed Cotton Oversized T Shirts for Men",NOT GIVEN,-63%,"₹1,199"
B09X7DVHW1,https://www.amazon.in/dp/B09X7DVHW1?th=1&psc=1,Veirdo Marvel Original Marvel Hulk Smash Printed Sleeveless T-Shirt for Men Black,NOT GIVEN,-60%,₹999
B09X7C63BP,https://www.amazon.in/dp/B09X7C63BP?th=1&psc=1,Veirdo Marvel Captain America Original Marvel Printed Sleeveless T-Shirt for Men White,NOT GIVEN,-62%,₹999
B09XXS3VR6,https://www.amazon.in/dp/B09XXS3VR6?th=1&psc=1,Veirdo Marvel Spider Power -Original Marvel Printed Oversize Half Sleeves T-Shirt for Men Black Red,NOT GIVEN,-63%,"₹1,199"
B09XXQRRML,https://www.amazon.in/dp/B09XXQRRML?th=1&psc=1,Veirdo Marvel Black Panther Printed Original Half Sleeves Regular Fit T-Shirt for Men,NOT GIVEN,-63%,"₹1,199"
B09X7BJZHT,https://www.amazon.in/dp/B09X7BJZHT?th=1&psc=1,Veirdo Marvel Original Marvel Iron Man Saving Earth Printed Sleeveless T-Shirt for Men Navy,NOT GIVEN,-52%,₹999
B09X7C2481,https://www.amazon.in/dp/B09X7C2481?th=1&psc=1,Veirdo Marvel Captain America Original Marvel Printed Sleeveless T-Shirt for Men White,NOT GIVEN,-62%,₹999
B09X7CCKBJ,https://www.amazon.in/dp/B09X7CCKBJ?th=1&psc=1,Veirdo Marvel Original Starwars I got Power Printed Sleeveless T-Shirt for Men White,NOT GIVEN,-52%,₹999
B09XXQJ4CF,https://www.amazon.in/dp/B09XXQJ4CF?th=1&psc=1,Veirdo Marvel Spider Power -Original Marvel Printed Oversize Half Sleeves T-Shirt for Men Black Red,NOT GIVEN,-63%,"₹1,199"
B095BNB8K9,https://www.amazon.in/dp/B095BNB8K9?th=1&psc=1,JUNEBERRY® Cotton Half Sleeve Regular Fit Printed T-Shirt for Women/Girls,NOT GIVEN,-73%,"₹1,199"
B09RPKBNQ2,https://www.amazon.in/dp/B09RPKBNQ2?th=1&psc=1,"JUNEBERRY Stylish Crop Top for Women, Half Sleeves Crop Top, Cotton Crop t Shirts for Women & Girls, Women Crop Top T Shirt, Tops for Women",NOT GIVEN,-63%,"₹1,199"
B09H2JFR6W,https://www.amazon.in/dp/B09H2JFR6W?th=1&psc=1,"JUNEBERRY Drop Shoulder Tshirt for Women, Printed Over Sized T-Shirts for Women & Girls, Western Tops for Women, Ladies Top Drop Shoulder Oversized Printed Shirts for Women",NOT GIVEN,-71%,"₹1,199"
B09Q653NKH,https://www.amazon.in/dp/B09Q653NKH?th=1&psc=1,Veirdo unisex-adult T-Shirt,NOT GIVEN,-67%,"₹1,199"
B07V8JVH9L,https://www.amazon.in/dp/B07V8JVH9L?th=1&psc=1,JUNEBERRY Women's Cotton Regular Fit Striped Half Sleeves T-Shirt,NOT GIVEN,-73%,"₹1,199"
B092JC7B32,https://www.amazon.in/dp/B092JC7B32?th=1&psc=1,JUNEBERRY Pure Cotton Colorblock Full Sleeve Regular Fit Solid T-Shirt for Women & Girls (GL33_JB_Anthra_110),NOT GIVEN,-70%,"₹1,199"
B09ZQS5TVR,https://www.amazon.in/dp/B09ZQS5TVR?th=1&psc=1,JUNEBERRY Women T-Shirt,NOT GIVEN,-73%,"₹1,199"
B08KJFS4WT,https://www.amazon.in/dp/B08KJFS4WT?th=1&psc=1,"JUNEBERRY Stylish Crop Tops for Women, Half Sleeves Crop Top, Cotton Crop t Shirts for Women & Girls, Women Crop Top T Shirt, Crop Top for Women Stylish",NOT GIVEN,-73%,"₹1,199"
B08TC6D5G8,https://www.amazon.in/dp/B08TC6D5G8?th=1&psc=1,JUNEBERRY Cotton Tie Dye T-Shirt for Women,NOT GIVEN,-70%,"₹1,199"
B09H4PT9NN,https://www.amazon.in/dp/B09H4PT9NN?th=1&psc=1,JUNEBERRY Women T-Shirt,NOT GIVEN,-67%,"₹1,199"
B08MQ9B6NK,https://www.amazon.in/dp/B08MQ9B6NK?th=1&psc=1,JUNEBERRY Regular Fit Cotton Half Sleeve T-Shirt for Womens.,NOT GIVEN,-71%,"₹1,194"
B09H4M9VS3,https://www.amazon.in/dp/B09H4M9VS3?th=1&psc=1,JUNEBERRY Women T-Shirt,NOT GIVEN,-67%,"₹1,199"
