Date,Week,Marketplace,Product URL,Product ID,Pincode,Brand,Title,MRP,Selling Price,Discount %,Estimated Delivery Date,In Stock
2023-03-04,5,Ajio,https://www.ajio.com/p/441142613001,441142613_white,581355,Kg Frendz,Floral Print Round-Neck T-shirt,399,120,70,"{'2-3Y': '25 Mar', '3-4Y': '27 Mar', '5-6Y': '27 Mar', '7-8Y': '27 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/463086147_blue,463086147_blue,581355,Janasya,Floral Print Fit & Flare Dress,2298,1011,56,"{'XS': '17 Mar', 'S': '17 Mar', 'M': '17 Mar', 'L': '17 Mar', 'XL': '17 Mar', 'XXL': '17 Mar', '3XL': '17 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/463895347_pink,463895347_pink,581355,Janasya,Printed Tiered Dress with Waist Tie-Up,1899,851,55,"{'XS': '17 Mar', 'S': '17 Mar', 'M': 'No Service', 'L': 'No Service', 'XL': 'No Service', 'XXL': 'No Service', '3XL': '17 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587616003,464587616_white,581355,Urbano Fashion, Slim Fit Shirt with Embroidered Logo ,1299,1299,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587757004,464587757_red,581355,Urbano Fashion,Slim Fit Shirt with Embroidered Logo ,1299,1299,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/462685540004,462685540_green,581355,Jaipur Kurti,Geometric Print Flared Maxi Skirt,2099,1050,50,"{'S': '17 Mar', 'M': '17 Mar', 'L': '17 Mar', 'XL': '17 Mar', 'XXL': '17 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/460989821001,460989821_blue,581355,Pepe Jeans,High-Neck Jacket with Insert Pockets,2799,1455,48,"{'4-5Y': '10 Mar', '6-7Y': '14 Mar', '8-9Y': '10 Mar', '10-11Y': '14 Mar', '12-13Y': '14 Mar', '14-15Y': '10 Mar', '15-16Y': '14 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/469240354001,469240354_black,581355,Pepe Jeans,Slim Fit Low-Rise Jeans,1799,1061,41,"{'4-5Y': '10 Mar', '6-7Y': '10 Mar', '8-9Y': '14 Mar', '10-11Y': '14 Mar', '12-13Y': '14 Mar', '14-15Y': 'No Service', '16-17Y': '14 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/463722154_multi,463722154_multi,581355,Rudraaksha,Printed A-line Dress,1999,1999,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464384968_black,464384968_black,581355,Wisstler,Floral Print Fit & Flare Dress,1799,998,44,"{'S': '13 Mar', 'M': '13 Mar', 'L': '13 Mar', 'XL': '13 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/441141652_red,441141652_red,581355,Avaasa Set,Ajrakh Print Straight Dress with Shrug,2799,840,70,"{'XS': '25 Mar', 'S': '11 Mar', 'M': '25 Mar', 'L': '27 Mar', 'XL': '27 Mar', 'XXL': '27 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/465410816_burgundy,465410816_burgundy,581355,Tior,V-Neck Fit & Flare Dress ,1499,600,60,"{'XS': '17 Mar', 'S': 'No Service', 'M': '17 Mar', 'L': '17 Mar', 'XL': '17 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/463002974_brown,463002974_brown,581355,Gulmohar Jaipur,Printed Fit & Flare Dress,1799,756,58,"{'S': '17 Mar', 'M': '17 Mar', 'L': '17 Mar', 'XL': '17 Mar', 'XXL': '17 Mar'}",Yes
