Date,Week,Marketplace,Product ID,Category,Brand,Title,MRP,Selling Price,Discount %,Rating,Count Of Rating,Image URL,Available Sizes,Division
15-02-2023,2,Myntra,18721202,Watches,Seiko,Men Stainless Steel Straps Watch,28000,25480,(9% Off),0.0,0,https://assets.myntassets.com/assets/images/18721202/2022/6/13/80b125e4-77b0-4f54-ac47-9a5b17ee755d1655120009362Watches1.jpg,[['Onesize']],Men
15-02-2023,2,Myntra,14684160,Hair Brush And Comb,Basicare,Styling Comb,269,242,(10% Off),0.0,0,https://assets.myntassets.com/assets/images/14684160/2022/7/29/0f5a1a1e-3281-4985-bfea-eb138da32c341659081498754basicareBrownStylingComb1.jpg,[['Onesize']],Unisex
15-02-2023,2,Myntra,14675012,Hair Brush And Comb,Basicare,Static Free Super Comb,319,287,(10% Off),0.0,0,https://assets.myntassets.com/assets/images/14675012/2022/7/29/c232bf4c-912e-40f7-a47c-eb8d40e089dc1659081711283basicareBrownStaticFreeSuperComb1.jpg,[['Onesize']],Unisex
15-02-2023,2,Myntra,17277600,Kurta Sets,Neudis,Embroidered Kurta With Churidar,3499,1574,(55% Off),3.3,9,https://assets.myntassets.com/assets/images/17277600/2022/2/24/da1df22d-da0c-4472-9d3f-a6cffa11bf381645708866784NEUDISMenGreenEmbroideredMirrorWorkDupionSilkKurtawithPyjama1.jpg,"[['S,M,L,Xl,Xxl']]",Men
15-02-2023,2,Myntra,19468754,Kurtas,Neudis,Jacquard Straight Kurta,2499,999,(60% Off),4.1,10,https://assets.myntassets.com/assets/images/19468754/2022/8/11/645c65a1-7876-406f-a036-e36e2dc6eb741660191438573NEUDISMenGreenGeometricPrintedMirrorWorkGrandeurMajesticArtw1.jpg,"[['S,M,Xl,Xxl']]",Men
15-02-2023,2,Myntra,19391438,Kurtas,Neudis,Men Handloom Kurta,2499,999,(60% Off),0.0,0,https://assets.myntassets.com/assets/images/19391438/2022/8/4/a89b4bfb-b6f0-4b8f-8653-e6c237c655021659613407842NEUDISMenYellowCottonChiankariStraightKurta1.jpg,"[['S,M,L,Xl,Xxl']]",Men
15-02-2023,2,Myntra,14617016,Kurta Sets,Hangup Plus,Men Kurta With Pyjamas Na,7999,1759,(78% Off),2.6,6,https://assets.myntassets.com/assets/images/productimage/2021/6/22/b46898d2-41d0-4703-870d-6c50963d36841624366657382-1.jpg,"[['Xl,Xxl,3Xl,4Xl,5Xl,6Xl']]",Men
15-02-2023,2,Myntra,19468732,Kurtas,Neudis,Ethnic Motifs Printed Kurta,2499,999,(60% Off),0.0,0,https://assets.myntassets.com/assets/images/19468732/2022/8/11/026c4e88-b271-429c-b8a5-cb55e1d5b3a51660193252116NEUDISMenMaroonEthnicMotifsPrintedFlaredSleevesGrandeurMajes1.jpg,"[['S,M,L,Xl,Xxl']]",Men
15-02-2023,2,Myntra,19468758,Kurtas,Neudis,Men Dupion Silk Kurta,2299,781,(66% Off),0.0,0,https://assets.myntassets.com/assets/images/19468758/2022/8/11/c5aec4b9-c922-4cc5-aa62-798d8798f6661660191506031NEUDISMenNavyBlueThreadWorkGrandeurMajesticArtworkPathaniKur1.jpg,"[['S,L,Xl,Xxl']]",Men
15-02-2023,2,Myntra,19672264,Kurtas,Neudis,Men Handloom Grey Kurta,2139,684,(68% Off),3.6,6,https://assets.myntassets.com/assets/images/19672264/2022/8/26/8c5bdb30-d04a-4715-b988-edcb8783dcbb1661518712266NEUDISMenGreyHandloomPathaniKurta1.jpg,"[['S,M,L,Xl,Xxl']]",Men
